no;block;trial;arrow_direct;cond;correct;rt;id
1520;1;84;1;0;1;0.51749;3
1521;1;85;2;0;1;0.58888;3
1522;1;86;1;0;1;0.51013;3
2156;1;1;1;0;1;1.0523;4
2164;1;10;2;0;1;0.46108;4
2167;1;13;2;0;1;0.36907;4
2169;1;15;2;0;1;0.40917;4
2173;1;20;1;0;1;0.84505;4
2174;1;21;1;0;1;0.45162;4
2179;1;26;2;0;1;0.4137;4
2184;1;31;1;0;1;0.38691;4
2188;1;35;2;0;1;0.47868;4
2190;1;37;1;0;1;0.52311;4
2191;1;38;1;0;1;0.47404;4
2196;1;43;2;0;1;0.42027;4
2201;1;48;1;0;0;0.40061;4
2204;1;51;1;0;1;0.41398;4
2206;1;53;2;0;1;0.48425;4
2207;1;54;2;0;1;0.41175;4
2215;1;62;2;0;1;0.38186;4
2216;1;63;1;0;1;0.40045;4
2221;1;68;1;0;1;0.44428;4
2224;1;71;2;0;1;0.38802;4
2225;1;72;2;0;1;0.48917;4
2231;1;78;2;0;1;0.571;4
2233;1;80;2;0;1;0.40684;4
2235;1;82;1;0;1;0.84124;4
2238;1;85;1;0;1;0.45127;4
2874;1;1;2;0;1;0.7024;5
2878;1;5;1;0;1;0.35558;5
2879;1;6;2;0;1;0.39802;5
2880;1;7;2;0;1;0.44952;5
2882;1;9;1;0;1;0.3631;5
2886;1;13;1;0;1;0.38341;5
2887;1;14;2;0;1;0.3883;5
2891;1;18;2;0;1;0.45833;5
2897;1;24;1;0;1;0.41032;5
2902;1;29;1;0;1;0.38621;5
2904;1;31;2;0;1;0.4453;5
2905;1;32;2;0;1;0.30581;5
2909;1;36;1;0;1;0.30172;5
2910;1;37;1;0;1;0.33384;5
2914;1;41;1;0;1;0.43576;5
2916;1;43;1;0;1;0.33344;5
2918;1;45;1;0;1;0.31201;5
2919;1;46;2;0;1;0.40251;5
2923;1;50;1;0;1;0.37763;5
2930;1;57;1;0;1;0.35475;5
2932;1;59;1;0;1;0.40378;5
2936;1;63;2;0;1;0.42985;5
2942;1;69;2;0;1;0.4379;5
2943;1;70;1;0;1;0.3608;5
2944;1;71;1;0;1;0.31679;5
3593;1;1;1;0;1;0.84948;6
3594;1;2;2;0;1;0.44371;6
3598;1;7;1;0;1;0.51083;6
3608;1;17;2;0;1;0.3472;6
3609;1;18;1;0;1;0.34271;6
3610;1;19;1;0;1;0.49019;6
3612;1;21;1;0;1;0.35608;6
3613;1;22;2;0;1;0.36918;6
3617;1;26;2;0;1;0.4269;6
3619;1;28;2;0;1;0.41007;6
3627;1;36;2;0;0;0.27334;6
3628;1;37;2;0;1;0.42724;6
3630;1;39;1;0;0;0.36289;6
3631;1;40;1;0;1;0.41267;6
3633;1;42;1;0;1;0.29316;6
3638;1;47;1;0;0;0.2824;6
3642;1;51;2;0;1;0.53032;6
3644;1;53;2;0;1;0.34635;6
3645;1;54;1;0;1;0.43027;6
3648;1;57;1;0;1;0.32568;6
3649;1;58;1;0;1;0.35209;6
3653;1;62;2;0;1;0.29479;6
3661;1;70;2;0;1;0.47761;6
3664;1;73;2;0;1;0.37191;6
3669;1;78;1;0;0;0.42618;6
4313;1;2;1;0;1;0.59151;7
4314;1;3;2;0;1;0.54581;7
4316;1;5;2;0;1;0.44608;7
4321;1;10;1;0;1;0.46535;7
4324;1;13;1;0;1;0.51171;7
4325;1;14;2;0;1;0.57414;7
4326;1;15;2;0;1;0.48838;7
4327;1;16;2;0;1;0.51613;7
4331;1;20;2;0;1;0.58112;7
4334;1;23;1;0;1;0.4593;7
4339;1;28;1;0;1;0.57181;7
4342;1;31;1;0;1;0.44845;7
4346;1;35;2;0;1;0.43545;7
4354;1;43;1;0;1;0.43755;7
4356;1;45;1;0;1;0.39782;7
4357;1;46;1;0;1;0.37708;7
4358;1;47;1;0;1;0.39867;7
4364;1;53;1;0;1;0.42309;7
4365;1;54;2;0;1;0.42075;7
4374;1;63;1;0;1;0.4144;7
4375;1;64;2;0;1;0.4018;7
4377;1;66;2;0;1;0.37886;7
4384;1;73;2;0;1;0.46303;7
4385;1;74;1;0;1;0.4213;7
4390;1;79;2;0;1;0.45491;7
5040;1;9;2;0;1;0.43459;8
5043;1;12;1;0;1;0.55155;8
5045;1;14;1;0;1;0.50697;8
5048;1;17;2;0;1;0.51012;8
5051;1;20;1;0;1;0.59349;8
5052;1;21;2;0;1;0.4723;8
5055;1;24;1;0;1;0.53344;8
5056;1;25;1;0;1;0.65265;8
5057;1;26;1;0;1;0.4778;8
5058;1;27;2;0;1;0.47374;8
5059;1;28;1;0;1;0.45613;8
5062;1;31;1;0;1;0.54377;8
5066;1;35;2;0;1;0.40994;8
5070;1;39;2;0;1;0.5135;8
5074;1;43;2;0;1;0.44318;8
5084;1;53;1;0;1;0.53428;8
5088;1;57;2;0;1;0.475;8
5090;1;59;2;0;1;0.38367;8
5093;1;62;2;0;1;0.38953;8
5095;1;64;2;0;1;0.35039;8
5096;1;65;1;0;1;0.4327;8
5099;1;68;2;0;1;0.52226;8
5100;1;69;1;0;1;0.62456;8
5101;1;70;2;0;1;0.46673;8
5104;1;73;1;0;1;0.47153;8
5753;1;2;1;0;1;0.58565;9
5755;1;4;2;0;1;0.43259;9
5758;1;7;2;0;1;0.39909;9
5762;1;11;2;0;1;0.3729;9
5764;1;13;2;0;1;0.42087;9
5770;1;19;2;0;1;0.3331;9
5773;1;22;1;0;1;0.42291;9
5776;1;25;2;0;1;0.39539;9
5778;1;27;2;0;1;0.32514;9
5779;1;28;1;0;1;0.38392;9
5786;1;35;1;0;1;0.35993;9
5788;1;37;2;0;1;0.40634;9
5792;1;41;1;0;1;0.3787;9
5793;1;42;2;0;1;0.35776;9
5794;1;43;1;0;1;0.35382;9
5798;1;47;1;0;1;0.40591;9
5801;1;50;2;0;1;0.7567;9
5802;1;51;1;0;1;0.37773;9
5808;1;57;2;0;1;0.40987;9
5813;1;62;2;0;1;0.44156;9
5815;1;64;2;0;1;0.49309;9
5816;1;65;1;0;1;0.40278;9
5818;1;67;2;0;1;0.44401;9
5829;1;78;2;0;1;0.49889;9
5832;1;81;1;0;1;0.3786;9
6479;1;8;2;0;1;0.36883;10
6483;1;12;2;0;1;0.36671;10
6484;1;13;2;0;1;0.42714;10
6486;1;15;1;0;1;0.42787;10
6488;1;17;2;0;1;0.37218;10
6491;1;20;1;0;1;0.294;10
6498;1;27;2;0;1;0.33856;10
6501;1;30;1;0;1;0.38119;10
6505;1;34;2;0;1;0.46837;10
6506;1;35;2;0;1;0.34416;10
6509;1;38;1;0;1;0.46812;10
6512;1;41;2;0;1;0.46057;10
6513;1;42;1;0;1;0.45027;10
6519;1;48;1;0;0;0.30759;10
6521;1;50;1;0;1;0.63937;10
6524;1;53;2;0;1;0.34514;10
6528;1;57;1;0;1;0.29551;10
6530;1;59;1;0;1;0.65089;10
6533;1;62;2;0;1;0.29797;10
6535;1;64;1;0;1;0.50134;10
6544;1;73;1;0;1;0.47883;10
6550;1;79;2;0;1;0.34163;10
6551;1;80;1;0;1;0.44673;10
6553;1;82;2;0;1;0.33798;10
6559;1;88;1;0;1;0.60581;10
7188;1;2;1;0;1;0.62447;11
7191;1;5;2;0;1;0.54363;11
7195;1;9;2;0;1;0.40087;11
7197;1;11;2;0;1;0.43236;11
7204;1;18;1;0;1;0.53838;11
7205;1;19;1;0;0;0.60203;11
7206;1;20;1;0;1;0.53132;11
7209;1;23;1;0;1;0.47587;11
7210;1;24;1;0;1;0.46538;11
7213;1;27;1;0;1;0.48694;11
7214;1;28;2;0;1;0.39684;11
7215;1;29;1;0;1;0.44139;11
7218;1;32;1;0;1;0.40633;11
7219;1;33;1;0;1;0.41195;11
7228;1;42;2;0;1;0.43405;11
7229;1;43;1;0;1;0.40504;11
7231;1;45;1;0;1;0.4001;11
7232;1;46;2;0;1;0.66998;11
7233;1;47;1;0;1;0.40763;11
7239;1;53;1;0;1;0.41935;11
7243;1;57;2;0;1;0.41239;11
7246;1;60;1;0;1;0.44294;11
7247;1;61;2;0;0;0.5918;11
7254;1;68;1;0;1;0.41888;11
7255;1;69;1;0;1;0.80743;11
7910;1;5;1;0;0;0.71192;12
7914;1;9;1;0;0;0.45409;12
7917;1;12;1;0;0;1.4568;12
7920;1;15;2;0;0;0.41728;12
7924;1;19;2;0;0;0.37832;12
7927;1;22;1;0;0;0.415;12
7928;1;23;2;0;0;0.51519;12
7932;1;27;1;0;0;0.5571;12
7934;1;29;2;0;0;0.46614;12
7938;1;33;2;0;0;0.35865;12
7940;1;35;1;0;0;0.42347;12
7943;1;38;1;0;0;0.60058;12
7949;1;44;2;0;0;0.39485;12
7951;1;46;1;0;0;0.46597;12
7952;1;47;2;0;0;0.3725;12
7954;1;49;2;0;0;0.53167;12
7955;1;50;2;0;0;0.36204;12
7960;1;55;1;0;0;0.34928;12
7962;1;57;1;0;0;0.43028;12
7974;1;69;1;0;0;0.54577;12
7975;1;70;1;0;0;0.36855;12
7977;1;72;1;0;0;0.35218;12
7978;1;73;1;0;0;0.37182;12
7983;1;78;2;0;0;0.37076;12
7986;1;81;1;0;0;0.46912;12
8629;1;10;2;0;1;0.42563;13
8634;1;15;1;0;1;0.39988;13
8636;1;17;2;0;0;0.35135;13
8638;1;19;1;0;1;0.42217;13
8640;1;21;1;0;1;0.39206;13
8650;1;31;2;0;1;0.37392;13
8656;1;37;1;0;1;0.42516;13
8659;1;40;2;0;1;0.36792;13
8661;1;42;2;0;1;0.56087;13
8663;1;44;1;0;1;0.35665;13
8665;1;46;1;0;0;0.29019;13
8666;1;47;2;0;1;0.38756;13
8670;1;51;2;0;1;0.41284;13
8671;1;52;1;0;1;0.40103;13
8674;1;55;1;0;1;0.36612;13
8677;1;58;2;0;1;0.42764;13
8679;1;60;2;0;1;0.37257;13
8683;1;64;1;0;1;0.37476;13
8688;1;69;1;0;1;0.4234;13
8689;1;70;2;0;1;0.4123;13
8690;1;71;1;0;1;0.4092;13
8691;1;72;1;0;1;0.45198;13
8692;1;73;1;0;1;0.44266;13
8693;1;74;2;0;1;0.3922;13
8694;1;75;2;0;1;0.69961;13
9344;1;6;1;0;1;0.76715;14
9346;1;8;2;0;1;0.51717;14
9348;1;10;1;0;1;0.43397;14
9349;1;11;1;0;1;0.43389;14
9354;1;16;2;0;1;0.48435;14
9356;1;18;2;0;1;0.36671;14
9358;1;20;1;0;1;0.43384;14
9362;1;24;2;0;1;0.41719;14
9365;1;27;1;0;1;0.43383;14
9372;1;34;2;0;1;0.4505;14
9373;1;35;1;0;1;0.33389;14
9376;1;38;1;0;1;0.38382;14
9380;1;42;1;0;1;0.35052;14
9386;1;48;1;0;1;0.46717;14
9388;1;50;1;0;1;0.35051;14
9392;1;54;2;0;1;0.31714;14
9394;1;56;2;0;1;0.41709;14
9395;1;57;2;0;1;0.45074;14
9406;1;68;2;0;1;0.36719;14
9407;1;69;2;0;1;0.38381;14
9411;1;73;2;0;1;0.48381;14
9417;1;79;1;0;1;0.56719;14
9419;1;81;2;0;1;0.45051;14
9422;1;84;2;0;1;0.40055;14
9423;1;85;1;0;1;0.46721;14
10059;1;2;1;0;1;0.45053;15
10064;1;7;2;0;1;0.31719;15
10068;1;11;2;0;1;0.4505;15
10070;1;13;2;0;1;0.30056;15
10072;1;15;2;0;1;0.33404;15
10075;1;18;1;0;1;0.36716;15
10078;1;21;2;0;1;0.36672;15
10079;1;22;2;0;1;0.30035;15
10085;1;28;2;0;1;0.53384;15
10089;1;32;1;0;1;0.85035;15
10090;1;33;1;0;1;0.40037;15
10096;1;39;2;0;1;0.33342;15
10099;1;42;1;0;1;0.41704;15
10102;1;45;1;0;1;0.51704;15
10104;1;47;1;0;1;0.76702;15
10106;1;49;1;0;1;0.36703;15
10110;1;53;1;0;0;0.41672;15
10113;1;56;1;0;1;0.46707;15
10114;1;57;2;0;1;0.4504;15
10116;1;59;2;0;1;0.3671;15
10117;1;60;2;0;1;0.33337;15
10121;1;64;2;0;1;0.50043;15
10122;1;65;1;0;1;0.48386;15
10124;1;67;2;0;1;0.38373;15
10125;1;68;1;0;1;0.46705;15
10787;1;11;1;0;1;0.37185;16
10789;1;13;2;0;1;0.45091;16
10791;1;15;2;0;1;0.37212;16
10793;1;17;2;0;1;0.41706;16
10798;1;22;1;0;1;0.3594;16
10799;1;23;1;0;1;0.3894;16
10810;1;34;1;0;1;0.36377;16
10811;1;35;1;0;1;0.55121;16
10814;1;38;2;0;1;0.39842;16
10816;1;40;2;0;1;0.32924;16
10817;1;41;2;0;1;0.33705;16
10818;1;42;1;0;1;0.41041;16
10819;1;43;2;0;1;0.41507;16
10821;1;45;1;0;0;0.2572;16
10825;1;49;1;0;1;0.37829;16
10827;1;51;2;0;1;0.44168;16
10828;1;52;1;0;1;0.41324;16
10829;1;53;2;0;1;0.39281;16
10834;1;58;1;0;1;0.38536;16
10836;1;60;1;0;1;0.32841;16
10842;1;66;1;0;1;0.40647;16
10845;1;69;2;0;1;0.4364;16
10846;1;70;1;0;1;0.40146;16
10848;1;72;2;0;0;0.2999;16
10849;1;73;2;0;1;0.5348;16
11505;1;9;2;0;1;0.44206;17
11506;1;10;2;0;1;0.35268;17
11508;1;12;2;0;1;0.43175;17
11509;1;13;2;0;1;0.4515;17
11514;1;18;2;0;0;0.36846;17
11516;1;20;2;0;1;0.41759;17
11517;1;21;2;0;1;0.4935;17
11518;1;22;2;0;1;0.43637;17
11519;1;23;1;0;1;0.44787;17
11521;1;25;1;0;1;0.47547;17
11523;1;27;1;0;1;0.47877;17
11524;1;28;1;0;1;0.51659;17
11527;1;31;1;0;1;0.52879;17
11530;1;34;1;0;1;0.41263;17
11540;1;44;1;0;1;0.40428;17
11543;1;47;1;0;1;0.41465;17
11544;1;48;2;0;1;0.44389;17
11546;1;50;2;0;1;0.45508;17
11548;1;52;1;0;1;0.44194;17
11551;1;55;2;0;1;0.48893;17
11554;1;58;1;0;1;0.44778;17
11555;1;59;2;0;1;0.40322;17
11557;1;61;2;0;1;0.43646;17
11560;1;64;2;0;1;0.38465;17
11561;1;65;1;0;1;0.43688;17
12218;1;2;1;0;1;0.90286;18
12220;1;4;2;0;1;0.7663;18
12223;1;7;2;0;1;0.91643;18
12224;1;8;2;0;1;0.47633;18
12229;1;13;1;0;0;0.28385;18
12235;1;19;2;0;1;0.47631;18
12238;1;22;1;0;1;0.61634;18
12244;1;28;2;0;1;0.53502;18
12245;1;29;2;0;1;0.45381;18
12252;1;36;2;0;1;0.53757;18
12263;1;47;1;0;1;0.51572;18
12267;1;51;2;0;1;0.46072;18
12268;1;52;1;0;1;0.61878;18
12270;1;54;1;0;1;0.65195;18
12271;1;55;2;0;1;0.44498;18
12276;1;60;2;0;1;0.55006;18
12277;1;61;1;0;1;0.5937;18
12280;1;64;1;0;1;0.39527;18
12287;1;71;1;0;1;0.66887;18
12289;1;73;1;0;1;0.5523;18
12292;1;76;1;0;1;0.56242;18
12293;1;77;1;0;1;0.43595;18
12294;1;78;1;0;1;0.36247;18
12296;1;80;2;0;1;0.74085;18
12297;1;81;2;0;1;0.57468;18
12937;1;2;2;0;1;0.4391;19
12940;1;5;2;0;1;0.3844;19
12941;1;6;2;0;1;0.35719;19
12947;1;12;1;0;1;0.46182;19
12949;1;14;1;0;1;0.32634;19
12951;1;16;2;0;1;0.34072;19
12957;1;22;1;0;0;0.34971;19
12959;1;24;2;0;1;0.36436;19
12966;1;31;2;0;1;0.4539;19
12971;1;36;2;0;1;0.36443;19
12973;1;38;2;0;1;0.3648;19
12975;1;40;1;0;1;0.37135;19
12978;1;43;2;0;1;0.51954;19
12983;1;48;2;0;1;0.4542;19
12984;1;49;2;0;1;0.37804;19
12985;1;50;2;0;1;0.38183;19
12986;1;51;1;0;1;0.41776;19
12988;1;53;2;0;1;0.3245;19
12991;1;56;2;0;1;0.39957;19
12993;1;58;1;0;1;0.40336;19
12994;1;59;2;0;1;0.30275;19
13000;1;65;1;0;1;0.40139;19
13011;1;76;1;0;1;0.36514;19
13013;1;78;2;0;1;0.47506;19
13017;1;82;1;0;1;0.4039;19
13660;1;7;1;0;1;0.38354;20
13661;1;8;1;0;1;0.38352;20
13663;1;10;2;0;1;0.35021;20
13664;1;11;1;0;1;0.36685;20
13665;1;12;2;0;1;0.35017;20
13668;1;15;1;0;1;0.58346;20
13669;1;16;1;0;1;0.35019;20
13670;1;17;2;0;1;0.35032;20
13671;1;18;1;0;1;0.35027;20
13672;1;19;1;0;1;0.41687;20
13673;1;20;2;0;1;0.36684;20
13681;1;28;2;0;1;0.4002;20
13685;1;32;1;0;1;0.33345;20
13686;1;33;2;0;1;0.3835;20
13687;1;34;1;0;1;0.33354;20
13688;1;35;1;0;1;0.38354;20
13691;1;38;1;0;1;0.35028;20
13693;1;40;2;0;1;0.33342;20
13697;1;44;1;0;1;0.36685;20
13699;1;46;2;0;1;0.31691;20
13704;1;51;1;0;1;0.31689;20
13709;1;56;1;0;1;0.35025;20
13712;1;59;2;0;1;0.36724;20
13716;1;63;2;0;1;0.40034;20
13717;1;64;2;0;1;0.40041;20
14379;1;6;2;0;1;0.424;21
14382;1;9;1;0;1;0.39235;21
14383;1;10;2;0;1;0.41121;21
14387;1;14;1;0;1;0.4285;21
14388;1;15;2;0;1;0.36355;21
14389;1;16;2;0;1;0.34652;21
14390;1;17;1;0;1;0.42924;21
14392;1;19;1;0;1;0.4161;21
14393;1;20;2;0;1;0.39453;21
14399;1;26;2;0;1;1.299;21
14411;1;38;1;0;1;0.40499;21
14419;1;46;1;0;1;0.45074;21
14421;1;48;2;0;1;0.3863;21
14425;1;52;2;0;1;0.74828;21
14428;1;55;1;0;1;0.39655;21
14433;1;60;2;0;1;0.40778;21
14434;1;61;1;0;1;0.68461;21
14435;1;62;2;0;1;0.34168;21
14437;1;64;2;0;1;0.36779;21
14438;1;65;2;0;1;0.41717;21
14439;1;66;2;0;1;0.37406;21
14447;1;74;2;0;1;0.4112;21
14448;1;75;1;0;1;0.38554;21
14454;1;81;1;0;1;0.38649;21
14455;1;82;1;0;1;0.41378;21
15095;1;9;2;0;1;0.50024;22
15096;1;10;1;0;1;0.4184;22
15097;1;11;1;0;1;0.35722;22
15099;1;13;1;0;1;0.3657;22
15103;1;17;1;0;1;0.37135;22
15111;1;25;2;0;1;0.26344;22
15113;1;27;1;0;1;0.40916;22
15114;1;28;1;0;1;0.2852;22
15117;1;31;2;0;1;0.33949;22
15118;1;32;2;0;1;0.4054;22
15120;1;34;2;0;1;0.38073;22
15121;1;35;2;0;1;0.43251;22
15123;1;37;1;0;1;0.41686;22
15124;1;38;2;0;1;0.36576;22
15126;1;40;1;0;1;0.36286;22
15128;1;42;1;0;1;0.32176;22
15130;1;44;2;0;1;0.39008;22
15133;1;47;2;0;1;0.32758;22
15137;1;51;1;0;1;0.35259;22
15148;1;62;2;0;1;0.29849;22
15152;1;66;1;0;1;0.36079;22
15156;1;70;2;0;1;0.36133;22
15158;1;72;1;0;1;0.35074;22
15160;1;74;1;0;1;0.36117;22
15162;1;76;2;0;1;0.35272;22
15807;1;2;2;0;1;0.71749;23
15811;1;6;2;0;1;0.42076;23
15813;1;8;2;0;1;0.33559;23
15815;1;10;1;0;1;0.4153;23
15821;1;16;2;0;1;0.48797;23
15823;1;18;1;0;1;0.38834;23
15824;1;19;1;0;1;0.35323;23
15826;1;21;2;0;1;0.40937;23
15828;1;23;2;0;1;0.3861;23
15831;1;26;2;0;1;0.42728;23
15832;1;27;1;0;1;0.52547;23
15851;1;46;2;0;1;0.40919;23
15852;1;47;2;0;1;0.40477;23
15858;1;53;2;0;1;0.44219;23
15861;1;56;1;0;1;0.42913;23
15870;1;65;2;0;1;0.46907;23
15871;1;66;2;0;1;0.4275;23
15878;1;73;1;0;1;0.82034;23
15879;1;74;1;0;1;0.63344;23
15880;1;75;1;0;1;0.41092;23
15882;1;77;1;0;1;0.41536;23
15883;1;78;2;0;1;0.5638;23
15884;1;79;1;0;1;0.61973;23
15885;1;80;1;0;1;0.5081;23
15889;1;84;1;0;1;0.47248;23
16527;1;3;1;0;1;0.67976;24
16528;1;4;2;0;1;0.46229;24
16529;1;5;1;0;1;0.46137;24
16531;1;7;1;0;1;0.45505;24
16532;1;8;1;0;1;0.43638;24
16534;1;10;1;0;1;0.50402;24
16540;1;16;1;0;1;0.45107;24
16542;1;18;1;0;1;0.57753;24
16552;1;28;2;0;1;0.57046;24
16553;1;29;1;0;1;0.51471;24
16555;1;31;1;0;1;0.41421;24
16563;1;39;1;0;1;0.37732;24
16566;1;42;2;0;1;0.43656;24
16568;1;44;2;0;1;0.55024;24
16569;1;45;2;0;1;0.43136;24
16575;1;51;1;0;1;0.53718;24
16578;1;54;2;0;1;0.58575;24
16581;1;57;2;0;1;0.50127;24
16584;1;60;2;0;1;0.42746;24
16589;1;65;2;0;1;0.45961;24
16590;1;66;1;0;1;0.52881;24
16592;1;68;1;0;1;0.48739;24
16598;1;74;2;0;1;0.39518;24
16600;1;76;2;0;1;0.47867;24
16602;1;78;2;0;1;0.52938;24
17252;1;9;1;0;1;0.66734;25
17253;1;10;1;0;1;0.45051;25
17254;1;11;2;0;1;0.45025;25
17257;1;14;1;0;1;0.58328;25
17260;1;17;1;0;1;0.56719;25
17261;1;18;1;0;1;0.48386;25
17263;1;20;2;0;1;0.50054;25
17264;1;21;1;0;1;0.50062;25
17266;1;23;2;0;1;0.48386;25
17272;1;29;2;0;1;0.4505;25
17275;1;32;2;0;1;0.50057;25
17280;1;37;2;0;1;0.4505;25
17281;1;38;1;0;1;0.46728;25
17284;1;41;2;0;1;0.43389;25
17285;1;42;2;0;1;0.40066;25
17287;1;44;2;0;1;0.51722;25
17288;1;45;1;0;1;0.41716;25
17289;1;46;2;0;1;0.51737;25
17292;1;49;2;0;1;0.41718;25
17298;1;55;1;0;1;0.43394;25
17300;1;57;2;0;1;0.38384;25
17302;1;59;1;0;1;0.65048;25
17304;1;61;1;0;1;0.45055;25
17305;1;62;1;0;1;0.3839;25
17310;1;67;1;0;0;0.65049;25
17944;1;1;2;0;1;0.96088;26
17952;1;9;2;0;1;0.35826;26
17955;1;12;2;0;1;0.40248;26
17956;1;13;2;0;1;0.3815;26
17961;1;18;1;0;1;0.35441;26
17968;1;25;1;0;1;0.37866;26
17969;1;26;1;0;1;0.35096;26
17973;1;30;2;0;1;0.34308;26
17975;1;32;2;0;1;0.35094;26
17980;1;37;2;0;1;0.35114;26
17986;1;43;1;0;1;0.44384;26
17990;1;47;1;0;1;0.42316;26
17991;1;48;2;0;1;0.4522;26
17993;1;50;2;0;1;0.36713;26
17997;1;54;2;0;1;0.42112;26
17998;1;55;2;0;1;0.38479;26
18000;1;57;2;0;1;0.36328;26
18001;1;58;2;0;1;0.35609;26
18004;1;61;1;0;1;0.375;26
18006;1;63;1;0;1;0.42269;26
18007;1;64;2;0;1;0.43505;26
18009;1;66;1;0;1;0.47241;26
18010;1;67;1;0;1;0.43905;26
18011;1;68;2;0;1;0.45778;26
18014;1;71;2;0;1;0.47605;26
18662;1;1;2;0;1;0.90109;27
18663;1;2;1;0;1;0.62036;27
18664;1;3;2;0;1;0.608;27
18671;1;10;2;0;1;0.44197;27
18672;1;11;1;0;1;0.43157;27
18679;1;18;2;0;1;0.37497;27
18682;1;21;2;0;1;0.39537;27
18684;1;23;2;0;1;0.39117;27
18687;1;26;2;0;1;0.4374;27
18688;1;27;2;0;1;0.41818;27
18691;1;30;1;0;1;0.42875;27
18692;1;31;2;0;1;0.42629;27
18695;1;34;1;0;1;0.44752;27
18697;1;36;1;0;1;0.45367;27
18699;1;38;1;0;1;0.43159;27
18702;1;41;1;0;1;0.36626;27
18707;1;46;2;0;1;0.35589;27
18713;1;52;2;0;1;0.37461;27
18721;1;60;2;0;1;0.38943;27
18723;1;62;2;0;1;0.41521;27
18728;1;67;2;0;1;0.51035;27
18730;1;69;1;0;1;0.42026;27
18732;1;71;2;0;1;0.42319;27
18736;1;75;2;0;1;0.40406;27
18739;1;78;2;0;1;0.46065;27
19383;1;4;1;0;1;0.33397;28
19387;1;8;2;0;1;0.45072;28
19389;1;10;2;0;1;0.45062;28
19390;1;11;2;0;1;0.41729;28
19396;1;17;2;0;1;0.35062;28
19397;1;18;2;0;1;0.51722;28
19398;1;19;2;0;1;0.41715;28
19401;1;22;1;0;1;0.30053;28
19406;1;27;1;0;1;0.36722;28
19412;1;33;1;0;1;0.40048;28
19415;1;36;2;0;1;0.41717;28
19418;1;39;1;0;1;0.48388;28
19429;1;50;2;0;1;0.38393;28
19432;1;53;2;0;1;0.38393;28
19434;1;55;1;0;1;0.50012;28
19437;1;58;2;0;1;0.30046;28
19438;1;59;1;0;1;0.33383;28
19440;1;61;1;0;1;0.43387;28
19441;1;62;2;0;1;0.46683;28
19444;1;65;1;0;1;0.40051;28
19446;1;67;2;0;1;0.43382;28
19449;1;70;1;0;1;0.38388;28
19451;1;72;2;0;1;0.40048;28
19453;1;74;2;0;1;0.35055;28
19456;1;77;2;0;1;0.51723;28
